"Conversion Page","URL","Form","Calendly","Indexed","Action"
"Yes","https://www.vendingpreneurs.com/booking-insta-b5","https://vendingpreneurs.typeform.com/to/YA7y7jLy","https://calendly.com/d/dz4t-wrw-3nk/vendingpreneurs-strategy-session","No","Redirects to Calendly only"
"Yes","https://www.vendingpreneurs.com/booking-youtube","https://vendingpreneurs.typeform.com/to/NsaOR2VZ","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-internal-ltf","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-passivepreneurs","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/start-your-route-ak-ig","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-ak-x","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-ak-linkedin","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-partner","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/book-my-advisory-call-setter","NA","https://calendly.com/d/cvsd-wxt-cvb/vendingpreneurs-quick-discovery","No",""
"Yes","https://www.vendingpreneurs.com/book-my-advisory-call-accelerator","NA","https://calendly.com/d/cxv9-jg6-m53/vending-accelerator-call","No",""
"Yes","https://www.vendingpreneurs.com/book-my-advisory-call-l1-topcl","NA","https://calendly.com/d/cvr6-cfd-zgd/vendingpreneurs-consultation-call","No",""
"Yes","https://www.vendingpreneurs.com/book-my-advisory-call-l1","NA","https://calendly.com/d/cxfn-hh2-h8g/vendingpreneurs-consultation","No",""
"Yes","https://www.vendingpreneurs.com/start-my-vending-business","https://vendingpreneurs.typeform.com/to/JPM7QOcG","NA","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-reactivation-email","https://vendingpreneurs.typeform.com/to/JPM7QOcG","NA","No","Redirects to 1 of 3 booking pages"
